agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
retailer_09,commercial,reliable,1.0,nominal,0,8,0.3983122901285909,-0.016670956467035425,4.792065288407691,retailer,5101,15,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.3983122901285909,-0.016670956467035425,4.3533168396492075,retailer,5101,15,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.39752982491902694,-0.016292257619887784,4.727597051013899,retailer,5101,15,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.39647625256764596,-0.016093467668523986,0.16479999999999997,supplier,5101,15,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.34605244768712945,-0.0036458085619571756,0.16480000000000003,supplier,5101,15,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.34605244768712945,-0.0036458085619571756,0.007999999999999964,warehouse,5101,15,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.39516793699384467,-0.0156156060411059,0.007999999999999964,warehouse,5101,15,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.3433097164782299,-0.0027427312088995626,0.007999999999999964,carrier,5101,16,ring_plus_hubs
carrier_06,commercial,reliable,0.0,nominal,0,8,0.34366493938408843,-0.003326856671191536,0.007999999999999964,carrier,5101,16,ring_plus_hubs
manufacturer_03,commercial,reliable,0.0,nominal,0,8,0.5008508592521941,0.15385906319691411,0.16480000000000003,manufacturer,5101,16,ring_plus_hubs
manufacturer_04,commercial,reliable,0.0,nominal,0,8,0.5008508592521941,0.10463378990567918,0.20400000000000001,manufacturer,5101,16,ring_plus_hubs
retailer_09,commercial,reliable,0.0,nominal,0,8,0.5035038295385706,0.10519153940997977,5.017244330826381,retailer,5101,16,ring_plus_hubs
retailer_10,commercial,reliable,0.0,nominal,0,8,0.5035038295385706,0.10519153940997977,5.1335877651789215,retailer,5101,16,ring_plus_hubs
retailer_11,commercial,reliable,0.0,nominal,0,8,0.5023064889318516,0.10477666401282465,5.770668442577461,retailer,5101,16,ring_plus_hubs
supplier_01,commercial,reliable,0.0,nominal,0,8,0.5023064889318516,0.10583023636420563,0.16479999999999997,supplier,5101,16,ring_plus_hubs
